TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
AMD,2016-08-11,,,,13.6135,,,100
AUD,2016-08-11,,,,49.9973,,,1
AZN,2016-08-11,,,,40.0085,,,1
BGN,2016-08-11,,,,36.9309,,,1
BRL,2016-08-11,,,,20.6006,,,1
BYN,2016-08-11,,,,32.9841,,,1
CAD,2016-08-11,,,,49.62,,,1
CHF,2016-08-11,,,,66.2243,,,1
CNY,2016-08-11,,,,97.5669,,,10
CZK,2016-08-11,,,,26.735,,,10
DKK,2016-08-11,,,,97.137,,,10
EUR,2016-08-11,,,,72.2349,,,1
GBP,2016-08-11,,,,84.5171,,,1
HUF,2016-08-11,,,,23.285,,,100
INR,2016-08-11,,,,97.0701,,,100
JPY,2016-08-11,,,,63.9157,,,100
KGS,2016-08-11,,,,94.309,,,100
KRW,2016-08-11,,,,59.1933,,,1000
KZT,2016-08-11,,,,18.7026,,,100
MDL,2016-08-11,,,,32.842,,,10
NOK,2016-08-11,,,,77.8309,,,10
PLN,2016-08-11,,,,16.9443,,,1
RON,2016-08-11,,,,16.2099,,,1
SEK,2016-08-11,,,,76.1189,,,10
SGD,2016-08-11,,,,48.318,,,1
TJS,2016-08-11,,,,82.2509,,,10
TMT,2016-08-11,,,,18.4949,,,1
TRY,2016-08-11,,,,21.8699,,,1
UAH,2016-08-11,,,,26.1188,,,10
USD,2016-08-11,,,,64.8137,,,1
UZS,2016-08-11,,,,21.8965,,,1000
XDR,2016-08-11,,,,90.1818,,,1
ZAR,2016-08-11,,,,48.3865,,,10
AMD,2016-08-12,,,,13.642,,,100
AUD,2016-08-12,,,,50.0567,,,1
AZN,2016-08-12,,,,40.0356,,,1
BGN,2016-08-12,,,,36.9999,,,1
BRL,2016-08-12,,,,20.7799,,,1
BYN,2016-08-12,,,,33.0954,,,1
CAD,2016-08-12,,,,49.6975,,,1
CHF,2016-08-12,,,,66.5264,,,1
CNY,2016-08-12,,,,97.8011,,,10
CZK,2016-08-12,,,,26.7768,,,10
DKK,2016-08-12,,,,97.2913,,,10
EUR,2016-08-12,,,,72.4644,,,1
GBP,2016-08-12,,,,84.0969,,,1
HUF,2016-08-12,,,,23.3171,,,100
INR,2016-08-12,,,,97.1174,,,100
JPY,2016-08-12,,,,64.1257,,,100
KGS,2016-08-12,,,,94.4488,,,100
KRW,2016-08-12,,,,59.0691,,,1000
KZT,2016-08-12,,,,18.6962,,,100
MDL,2016-08-12,,,,32.9193,,,10
